2004082,24,20,29,3,30,27,15
2004083,16,33,28,14,30,27,6
2004084,21,8,4,25,1,11,14
2004085,29,11,8,32,3,30,1
2004086,19,10,27,25,13,18,1
2004087,26,8,25,3,1,7,14
2004088,19,10,22,2,24,32,14
2004089,14,25,17,28,30,20,14
2004090,1,24,20,32,18,33,12
2004091,33,13,14,30,21,9,1
2004092,28,8,1,31,13,4,2
2004093,11,33,32,14,27,20,5
2004094,9,5,10,24,25,13,8
2004095,22,19,28,32,30,27,1
2004096,16,30,4,12,1,20,15
2004097,26,31,10,29,20,19,14
2004098,13,12,26,25,3,31,3
2004099,10,22,5,33,26,21,2
2004100,8,14,33,6,9,24,15
2004101,26,2,25,9,14,19,15
2004102,32,12,9,28,3,15,1
2004103,5,2,9,21,16,3,2
2004104,17,18,11,29,24,7,5
2004105,9,21,7,23,10,30,12
2004106,26,23,15,29,28,10,12
2004107,20,18,1,8,13,12,7
2004108,27,14,28,31,8,13,12
2004109,17,8,10,6,31,30,14
2004110,19,14,20,21,31,22,11
2004111,31,26,18,20,16,11,2
2004112,21,15,9,13,33,26,6
2004113,8,32,10,25,31,23,7
2004114,9,6,22,1,17,21,1
2004115,20,33,16,30,2,31,1
2004116,14,33,3,1,5,8,3
2004117,25,3,14,24,7,1,7
2004118,12,7,30,3,4,31,15
2004119,20,25,6,18,9,33,6
2004120,7,27,8,21,32,18,10
2004121,32,30,18,7,13,16,10
2004122,31,14,11,22,3,24,15
2005001,8,27,28,23,1,7,14
2005002,9,26,28,33,20,6,14
2005003,22,12,19,31,15,9,16
2005004,8,9,1,22,23,4,3
2005005,28,9,20,26,33,5,15
2005006,31,5,2,21,4,15,16
2005007,33,7,20,17,15,23,15
2005008,33,32,11,22,27,19,11
2005009,31,2,29,22,17,27,14
2005010,18,8,11,26,25,10,1
2005011,9,13,15,30,11,22,15
2005012,6,2,22,16,31,3,5
2005013,20,7,24,19,8,16,6
2005014,32,21,19,30,13,23,5
2005015,4,9,8,16,29,17,15
2005016,12,1,30,6,16,5,15
2005017,25,10,31,27,2,6,3
2005018,23,25,22,1,6,3,6
2005019,12,6,11,19,13,22,8
2005020,20,25,19,29,14,16,5
2005021,31,24,26,30,6,2,16
2005022,10,32,8,33,12,21,4
2005023,19,20,21,10,25,15,12
2005024,9,27,14,5,31,32,13
2005025,32,7,13,10,11,1,7
2005026,6,26,14,25,12,20,7
2005027,3,1,32,6,21,4,15
2005028,9,26,25,32,22,4,10
2005029,2,14,21,22,30,27,14
2005030,9,22,28,14,5,1,5
2005031,16,20,32,10,4,23,7
2005032,19,20,15,25,5,29,3
2005033,8,7,20,12,14,19,7
2005034,28,17,5,25,32,18,9
2005035,21,28,29,30,16,12,14
2005036,26,19,31,21,12,20,15
2005037,32,7,14,24,22,12,16
2005038,28,11,27,20,7,4,16
2005039,16,21,2,19,29,18,9
2005040,30,21,24,32,12,1,13
2005041,16,23,11,29,24,2,3
2005042,30,16,27,26,11,21,15
2005043,4,5,8,7,32,6,5
2005044,18,22,6,17,16,1,9
2005045,18,7,15,10,1,20,10
2005046,16,9,22,18,24,20,5
2005047,7,5,2,3,8,27,15
2005048,16,10,6,28,7,8,2
2005049,2,3,8,27,10,25,12
2005050,2,26,32,9,20,12,13
2005051,21,14,20,3,19,6,2
2005052,1,14,17,32,2,30,1
2005053,4,7,14,29,27,10,9
2005054,29,17,13,5,18,21,14
2005055,30,5,32,22,20,33,9
2005056,19,31,27,17,12,29,9
